TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,9,26,30,0.05,0.02,5.7789999999999395,51,50.98039215686274
15min,12,20,20,0.05,0.02,5.771999999999949,48,52.083333333333336
15min,6,26,20,0.05,0.01,5.771500000000003,64,37.5
15min,6,10,10,0.05,0.02,5.764999999999972,48,52.083333333333336
15min,6,60,20,0.05,0.01,5.763499999999937,80,33.75
5min,9,15,10,0.05,0.02,5.76149999999997,78,43.58974358974359
15min,9,26,10,0.05,0.01,5.753999999999991,69,36.231884057971016
5min,9,20,10,0.05,0.03,5.752499999999941,72,51.388888888888886
15min,6,10,20,0.05,0.03,5.742499999999978,36,63.888888888888886
15min,9,26,10,0.05,0.02,5.7399999999999665,58,48.275862068965516
15min,12,60,10,0.05,0.01,5.732499999999973,86,32.55813953488372
15min,6,20,30,0.05,0.02,5.729999999999961,48,52.083333333333336
5min,12,20,10,0.05,0.01,5.71550000000002,106,30.18867924528302
15min,6,50,30,0.05,0.01,5.714499999999944,75,34.66666666666667
15min,12,60,20,0.05,0.01,5.706499999999963,81,33.33333333333333
15min,12,26,50,0.05,0.03,5.703499999999977,36,63.888888888888886
5min,12,50,50,0.05,0.02,5.701999999999913,69,44.927536231884055
15min,6,26,50,0.05,0.01,5.700000000000003,53,41.509433962264154
15min,9,26,30,0.05,0.01,5.698499999999996,58,39.6551724137931
15min,6,20,10,0.05,0.01,5.694499999999991,69,36.231884057971016
15min,9,15,10,0.05,0.02,5.690499999999972,52,50.0
15min,9,50,10,0.05,0.01,5.686999999999955,81,33.33333333333333
15min,12,26,30,0.05,0.03,5.686499999999967,44,59.09090909090909
5min,6,15,10,0.05,0.03,5.67199999999994,75,50.66666666666667
15min,6,10,30,0.05,0.01,5.671000000000021,35,54.285714285714285
5min,12,60,30,0.05,0.02,5.652999999999864,89,41.57303370786517
5min,9,50,30,0.05,0.03,5.649999999999935,70,51.42857142857142
5min,12,60,30,0.05,0.01,5.645499999999984,114,28.947368421052634
15min,6,26,30,0.05,0.02,5.644999999999953,52,50.0
15min,9,26,10,0.03,0.03,5.642499999999984,60,70.0
5min,12,50,10,0.05,0.01,5.638000000000076,124,28.225806451612907
15min,3,50,30,0.03,0.03,5.635500000000022,70,67.14285714285714
15min,3,15,30,0.05,0.01,5.632499999999979,54,40.74074074074074
5min,9,20,20,0.05,0.03,5.62949999999995,60,53.333333333333336
15min,3,26,20,0.03,0.03,5.629000000000005,64,68.75
15min,3,20,20,0.03,0.03,5.628499999999988,62,69.35483870967742
5min,9,26,20,0.05,0.03,5.626499999999936,65,52.307692307692314
5min,9,26,10,0.05,0.01,5.621000000000095,124,28.225806451612907
15min,9,50,30,0.05,0.01,5.617499999999978,71,35.2112676056338
