fast,slow,confirm,band_mode,atr_k,band_bps,tp_pct,sl_pct,trend_ema,cooldown,fee_bps,size,trades,freq_per_hour,total_pnl,avg_pnl,win_rate,profit_factor,mdd,sharpe
21,26,2,atr_pct,1.0,0.0,0.015,0.01,200,0,0.0,10.0,21391,4.951715889581203,661.9494999999811,0.0309452339769052,0.4988546585012388,1.0240178272316678,-0.0407335644452289,2.386953134299311
21,26,2,atr_pct,1.0,0.0,0.015,0.01,200,1,0.0,10.0,21391,4.951715889581203,661.9494999999811,0.0309452339769052,0.4988546585012388,1.0240178272316678,-0.0407335644452289,2.386953134299311
21,55,1,bps,0.0,120.0,0.02,0.01,0,0,0.0,10.0,14928,3.4556222149347016,642.3319999999687,0.04302867095391,0.495042872454448,1.0302125108840503,-0.0293265655334741,2.550372482502006
21,55,1,bps,0.0,120.0,0.02,0.01,0,1,0.0,10.0,14928,3.4556222149347016,642.3319999999687,0.04302867095391,0.495042872454448,1.0302125108840503,-0.0293265655334741,2.550372482502006
21,55,1,bps,0.0,120.0,0.02,0.01,200,0,0.0,10.0,14928,3.4556222149347016,642.3319999999687,0.04302867095391,0.495042872454448,1.0302125108840503,-0.0293265655334741,2.550372482502006
21,55,1,bps,0.0,120.0,0.02,0.01,200,1,0.0,10.0,14928,3.4556222149347016,642.3319999999687,0.04302867095391,0.495042872454448,1.0302125108840503,-0.0293265655334741,2.550372482502006
21,26,2,atr_pct,1.0,0.0,0.015,0.015,0,0,0.0,10.0,31319,7.249908370146029,638.5259999999784,0.0203878157029272,0.4948114563044797,1.015090429349309,-0.0567753241046564,1.702002969534854
21,26,2,atr_pct,1.0,0.0,0.015,0.015,0,1,0.0,10.0,31319,7.249908370146029,638.5259999999784,0.0203878157029272,0.4948114563044797,1.015090429349309,-0.0567753241046564,1.702002969534854
21,26,2,atr_pct,1.0,0.0,0.015,0.015,200,0,0.0,10.0,31319,7.249908370146029,638.5259999999784,0.0203878157029272,0.4948114563044797,1.015090429349309,-0.0567753241046564,1.702002969534854
21,26,2,atr_pct,1.0,0.0,0.015,0.015,200,1,0.0,10.0,31319,7.249908370146029,638.5259999999784,0.0203878157029272,0.4948114563044797,1.015090429349309,-0.0567753241046564,1.702002969534854
9,26,1,atr_pct,0.3,0.0,0.015,0.01,200,0,0.0,10.0,51603,11.94536931653774,607.8374999999829,0.0117791116795531,0.4970641241788268,1.0080739428177488,-0.1128007076807443,0.931234873132624
9,26,1,atr_pct,0.3,0.0,0.015,0.01,200,1,0.0,10.0,51603,11.94536931653774,607.8374999999829,0.0117791116795531,0.4970641241788268,1.0080739428177488,-0.1128007076807443,0.931234873132624
21,26,1,atr_pct,0.3,0.0,0.015,0.01,200,0,0.0,10.0,50545,11.700457184745074,591.0779999999972,0.0116940943713522,0.4938371747947374,1.0081049507185982,-0.0651781569481326,0.8934558633337326
21,26,1,atr_pct,0.3,0.0,0.015,0.01,200,1,0.0,10.0,50545,11.700457184745074,591.0779999999972,0.0116940943713522,0.4938371747947374,1.0081049507185982,-0.0651781569481326,0.8934558633337326
21,26,1,atr_pct,0.3,0.0,0.02,0.01,200,0,0.0,10.0,50540,11.699299755010706,572.4009999999738,0.011325702413929,0.4933913731697665,1.0078438346231486,-0.0660349608500443,0.8554099281802228
21,26,1,atr_pct,0.3,0.0,0.02,0.01,200,1,0.0,10.0,50540,11.699299755010706,572.4009999999738,0.011325702413929,0.4933913731697665,1.0078438346231486,-0.0660349608500443,0.8554099281802228
21,55,1,atr_pct,0.6,0.0,0.015,0.015,200,0,0.0,10.0,51670,11.960878874978295,563.1605000000576,0.0108991774724222,0.4978711050899942,1.0074657615245326,-0.0584472023429122,0.8818348393882904
21,55,1,atr_pct,0.6,0.0,0.015,0.015,200,1,0.0,10.0,51670,11.960878874978295,563.1605000000576,0.0108991774724222,0.4978711050899942,1.0074657615245326,-0.0584472023429122,0.8818348393882904
9,26,1,atr_pct,0.3,0.0,0.02,0.015,200,0,0.0,10.0,51747,11.978703292887593,541.8040000000748,0.0104702494830632,0.4963379519585676,1.0071478947072496,-0.0762196936411536,0.8190873995693246
9,26,1,atr_pct,0.3,0.0,0.02,0.015,200,1,0.0,10.0,51747,11.978703292887593,541.8040000000748,0.0104702494830632,0.4963379519585676,1.0071478947072496,-0.0762196936411536,0.8190873995693246
